Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
Over 51,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Above high school,Owner,1-2yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Getting off,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,Getting off,Not a Pedestrian,No priority to pedestrian,Slight Injury
Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
Under 18,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,High school,Owner,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Employee,1-2yr,Automobile,Governmental,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,No priority to vehicle,Fatal injury
Over 51,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Overtaking,Serious Injury
18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Moving Backward,Serious Injury
18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Governmental,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
18-30,Male,Writing & reading,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,Fatal injury
31-50,Female,Elementary school,Employee,2-5yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury
Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Serious Injury
18-30,Male,High school,Employee,No Licence,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
Under 18,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury
18-30,Male,Elementary school,Owner,2-5yr,Turbo,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Above high school,Employee,1-2yr,Lorry (41?100Q),Owner,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Organization,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Above high school,Owner,1-2yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
31-50,Male,Above high school,Employee,No Licence,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,Changing lane to the right,Serious Injury
Over 51,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,Driving to the left,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,No priority to vehicle,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Organization,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Driving to the left,Slight Injury
31-50,Male,High school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Above high school,Employee,1-2yr,Automobile,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
Under 18,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
Under 18,Male,High school,Employee,Below 1yr,Lorry (41?100Q),Owner, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury
Under 18,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Elementary school,Employee,2-5yr,Long lorry,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Automobile,Organization,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Fatal injury
Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,Fatal injury
Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Overtaking,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Female,Junior high school,Employee,2-5yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overloading,Slight Injury
Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,Overspeed,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
Over 51,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Elementary school,Owner,5-10yr,Ridden horse,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
Over 51,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,Reversing,Not a Pedestrian,Moving Backward,Slight Injury
Under 18,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Above high school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Rollover,Going straight,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Turbo,Owner, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,Slight Injury
31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Overtaking,Slight Injury
